OBJECTID,Stage1,RouteLocationStage1,Stage2,RouteLocationStage2,TravelDirection,Oneway,RouteStatus,EditDate,GlobalID
298,LRT,Rail Corridor,LRT,Rail Corridor,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{2FC266F8-DA82-4517-94F5-53FEC6A35029}
300,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{74787C18-696D-46F0-9285-04A66FC3240A}
301,aBRT,Curbside,,Centre,Bi-Directional,No,Planned,2017/04/21 13:24:16+00,{A9FDBC48-52EA-4D79-A6F8-47D46507E995}
302,aBRT,Curbside,LRT,Centre,Bi-Directional,No,Planned,2018/12/19 16:26:29+00,{81885E5D-718F-4F30-9B7C-604FBACC3E66}
303,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{6BAA9543-C07B-446C-9E04-86F90B8DC8EA}
304,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{3A0BD519-F5A4-4870-91B6-494D7F7259E1}
305,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{5C42CFFC-7037-41CE-98FC-023C78CDD874}
308,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{5E41688C-2024-4B74-9631-07CB88FDF952}
309,aBRT,Curbside,,Centre,Bi-Directional,No,Planned,2017/04/21 13:24:16+00,{3C61E3E5-3DBB-48D1-9FC3-801E0E1D994A}
310,aBRT,Curbside,,Centre,Bi-Directional,No,Planned,2018/12/19 16:26:24+00,{557CC85D-AFC0-47B4-92A1-7B2B16E87C1B}
311,LRT,Rail Corridor,LRT,Rail Corridor,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{91116562-59E2-450C-9400-807EECA61DE8}
312,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{82E2CCA5-73A7-44A7-93AA-18A3207B4935}
313,LRT,Centre,LRT,Centre,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{585D2846-31D3-4448-8A4C-84F09D4905E4}
314,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{2F78EC2A-E164-4B84-8FC2-0CF54DC21337}
315,LRT,Rail Corridor,LRT,Rail Corridor,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{9EF044E0-E7A1-4D82-ACE8-F16A842B17D4}
316,aBRT,Curbside,LRT,Centre,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{528FFE36-143A-482B-9C5D-8EFEEAEF2363}
317,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{DD662011-7033-423A-BC42-F470989CF4DD}
318,aBRT,Curbside,,,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{E8A786D6-B1FA-4C94-9626-E1B718BD1E18}
319,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{11BEBF3B-5C14-4FB6-8F59-63E8F82BF177}
320,aBRT,Curbside,,Centre,Bi-Directional,No,Planned,2017/04/21 13:24:16+00,{2D531242-6636-4563-AEEE-1311743513E3}
321,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{9702C6DE-1422-4972-857C-C2C3C2116727}
322,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{8A76D2E4-82F4-4DB2-B0CF-BD8596C11D70}
323,aBRT,Curbside,LRT,Centre,Bi-Directional,No,Planned,2015/07/30 09:50:41+00,{C4F50A21-D604-4647-B03B-F202795005C6}
324,aBRT,Curbside,,,Southbound,Yes,Planned,2015/07/30 09:50:41+00,{E055DCD1-B1DC-48C6-BDA5-2A3F1DF59561}
325,LRT,Rail Corridor,LRT,Rail Corridor,Southbound,Yes,Constructed,2018/12/19 16:28:38+00,{430351F0-E08B-476E-B15B-578293D5E898}
326,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{B20E0160-86A0-4AE8-9A35-E866A2A26CAE}
327,aBRT,Curbside,LRT,Centre,Bi-Directional,No,Planned,2018/12/19 16:18:56+00,{B17E99D1-D687-4133-B099-E79B2966B875}
328,LRT,Rail Corridor,LRT,Rail Corridor,Northbound,Yes,Constructed,2018/12/19 16:28:38+00,{9DB1118D-D5ED-4F0F-8967-33766C7EC614}
329,aBRT,Curbside,,,Northbound,Yes,Planned,2015/07/30 09:50:41+00,{9BAC8D33-0240-4428-83A7-C88C5E6EE786}
