OBJECTID,CATEGORY,SOURCE,SOURCE_DATE,TRAFFICCONTROLID,OWNERSHIP,SUBCATEGORY,STATUS,STATUS_DATE,CREATE_DATE,UPDATE_DATE,INSTALLATION_DATE,x,y
1,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,99,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/11/2014 2:57:44 PM,,-8958802.06213218,5379755.1967385
2,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,100,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8958668.02924961,5379845.40243839
3,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,101,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8958366.04608885,5379513.48718633
4,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,102,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8958300.56684427,5379620.36802865
5,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,103,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8958065.42760204,5379478.46024336
6,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,104,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8958134.5899708,5379374.60176506
7,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,105,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8958659.6846452,5378709.54525883
8,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,106,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/11/2014 2:24:13 PM,,-8957494.33983733,5379164.73668369
9,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,107,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/12/2014 3:53:54 PM,,-8965101.54484347,5375885.3873365
10,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,108,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/11/2014 4:46:16 PM,,-8953518.2157328,5378714.14913506
11,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,109,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8953223.05932888,5378338.66430825
12,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,110,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8953636.76974248,5377669.2450119
13,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,111,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/11/2014 2:24:13 PM,,-8954195.87138353,5377676.52922222
14,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,112,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8954740.4963321,5378189.98021727
15,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,113,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8953670.99886295,5377420.6351933
16,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,114,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/11/2014 4:51:35 PM,,-8963847.95568999,5377461.12884229
17,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,115,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8963333.61628971,5376650.00163449
18,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,116,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/11/2014 4:51:35 PM,,-8962969.0918474,5376221.34362677
19,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,117,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/11/2014 4:51:35 PM,,-8963573.88274472,5376978.3286101
21,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,119,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8961178.56312615,5382454.39556283
22,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,120,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8960678.30081832,5381796.2192371
23,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,121,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8960524.81113116,5381458.37940129
24,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,122,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8959998.97895422,5381699.28232432
25,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,123,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8960152.28097249,5382036.99370802
26,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,124,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8960570.4681929,5382729.04677445
27,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,125,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/16/2013 9:32:46 AM,,-8959276.72838333,5382035.71955941
28,TRAFFIC SIGNAL,DTS TRANSPORTATION PLANNING,4/21/2008 9:44:31 AM,126,REGION,TRAFFIC SIGNAL,ACTIVE,9/23/2008 12:00:00 AM,4/21/2008 9:44:31 AM,8/11/2014 4:51:35 PM,,-8959363.35618776,5382398.56009959
