geometry_id,geometry
1,"LINESTRING (545202.3287751492 4807803.89080675, 545771.8381733594 4808059.608494164)"
2,"LINESTRING (545771.8381733594 4808059.608494164, 545985.2263321974 4808600.939077931)"
3,"LINESTRING (545985.2263321974 4808600.939077931, 546140.196992488 4808972.945021218)"
4,"LINESTRING (546140.196992488 4808972.945021218, 546040.7117982019 4809185.952338306)"
5,"LINESTRING (546040.7117982019 4809185.952338306, 545933.011241184 4809360.474185122)"
6,"LINESTRING (545933.011241184 4809360.474185122, 546051.1241339335 4809521.9868108565)"
7,"LINESTRING (546051.1241339335 4809521.9868108565, 545878.7331580704 4809736.93900147)"
8,"LINESTRING (545878.7331580704 4809736.93900147, 545204.6947433215 4810481.945620692)"
9,"LINESTRING (545204.6947433215 4810481.945620692, 545039.7431382758 4810886.996329744)"
10,"LINESTRING (545039.7431382758 4810886.996329744, 544940.2210596956 4811094.903767912)"
11,"LINESTRING (544940.2210596956 4811094.903767912, 544742.2215641082 4811497.964446791)"
12,"LINESTRING (544742.2215641082 4811497.964446791, 544520.1212499598 4811766.378389731)"
13,"LINESTRING (544520.1212499598 4811766.378389731, 544100.7362830591 4811910.889375194)"
14,"LINESTRING (544100.7362830591 4811910.889375194, 543822.6999246386 4811856.987335753)"
15,"LINESTRING (543822.6999246386 4811856.987335753, 543610.6938798167 4811762.986143742)"
16,"LINESTRING (543610.6938798167 4811762.986143742, 543373.7198394716 4811549.994569863)"
17,"LINESTRING (543373.7198394716 4811549.994569863, 543064.6980045828 4811403.965465433)"
18,"LINESTRING (543064.6980045828 4811403.965465433, 542673.679877198 4811222.890860628)"
19,"LINESTRING (542673.679877198 4811222.890860628, 542290.6761006351 4811037.891326859)"
20,"LINESTRING (542290.6761006351 4811037.891326859, 542010.6867819548 4810899.978871387)"
21,"LINESTRING (542010.6867819548 4810899.978871387, 541728.1880529288 4810984.960162427)"
22,"LINESTRING (541728.1880529288 4810984.960162427, 541454.8993266433 4810852.1041020285)"
23,"LINESTRING (541454.8993266433 4810852.1041020285, 541399.4666338176 4810758.47486576)"
24,"LINESTRING (541399.4666338176 4810758.47486576, 541269.1105304562 4810571.095431888)"
25,"LINESTRING (541269.1105304562 4810571.095431888, 540996.2260493196 4810455.925762442)"
26,"LINESTRING (540996.2260493196 4810455.925762442, 540901.7454289024 4810327.967609862)"
27,"LINESTRING (540901.7454289024 4810327.967609862, 540723.2321826034 4810075.996629105)"
28,"LINESTRING (540723.2321826034 4810075.996629105, 540556.7016098922 4809842.989138353)"
29,"LINESTRING (540556.7016098922 4809842.989138353, 540328.6859525179 4809633.93735734)"
30,"LINESTRING (540328.6859525179 4809633.93735734, 540177.6853036986 4809427.906325026)"
31,"LINESTRING (540177.6853036986 4809427.906325026, 539796.6915607787 4809147.995051942)"
32,"LINESTRING (539796.6915607787 4809147.995051942, 539587.738051186 4809047.921210905)"
33,"LINESTRING (539587.738051186 4809047.921210905, 539339.6747201574 4808921.970685372)"
34,"LINESTRING (539339.6747201574 4808921.970685372, 538832.6746703264 4808641.936486974)"
35,"LINESTRING (538832.6746703264 4808641.936486974, 538499.6684653509 4808516.972627908)"
36,"LINESTRING (538499.6684653509 4808516.972627908, 538322.7076525457 4808420.897259069)"
37,"LINESTRING (538322.7076525457 4808420.897259069, 538237.7325173999 4808303.912701809)"
38,"LINESTRING (538237.7325173999 4808303.912701809, 538331.1056973963 4808196.491874934)"
39,"LINESTRING (538331.1056973963 4808196.491874934, 538635.719462929 4807854.941688888)"
40,"LINESTRING (538635.719462929 4807854.941688888, 538660.9894831321 4807753.688300629)"
41,"LINESTRING (538660.9894831321 4807753.688300629, 538417.3748639786 4807631.241096458)"
42,"LINESTRING (538417.3748639786 4807631.241096458, 538151.703065507 4807513.8979042815)"
43,"LINESTRING (538151.703065507 4807513.8979042815, 537612.4895035524 4807393.5913284505)"
44,"LINESTRING (537612.4895035524 4807393.5913284505, 537310.6876551665 4807466.659335908)"
45,"LINESTRING (537310.6876551665 4807466.659335908, 537149.6839965072 4807213.88693501)"
46,"LINESTRING (537149.6839965072 4807213.88693501, 536632.6977917467 4807077.900015269)"
47,"LINESTRING (536632.6977917467 4807077.900015269, 536379.3679002553 4807049.431099207)"
