link_id,from_node_id,to_node_id,directed,length,geometry_id,allowed_uses,lanes,travel_time
1,2785,2786,1,621.83,1,transit,1,3.0
2,2786,2787,1,582.66,2,transit,1,1.0
3,2787,2788,1,403.27,3,transit,1,2.0
4,2788,2789,1,235.03,4,transit,1,1.0
5,2789,2790,1,205.13,5,transit,1,2.0
6,2790,2791,1,200.08,6,transit,1,1.0
7,2791,2792,1,275.5,7,transit,1,1.0
8,2792,2793,1,1004.32,8,transit,1,2.0
9,2793,2794,1,437.67,9,transit,1,1.0
10,2794,2795,1,230.85,10,transit,1,1.0
11,2795,2796,1,449.31,11,transit,1,1.0
12,2796,2797,1,348.0,12,transit,1,1.0
13,2797,2798,1,442.73,13,transit,1,1.0
14,2798,2799,1,282.59,14,transit,1,2.0
15,2799,2800,1,231.5,15,transit,1,1.0
16,2800,2801,1,318.38,16,transit,1,2.0
17,2801,2802,1,341.21,17,transit,1,1.0
18,2802,2803,1,430.17,18,transit,1,1.0
19,2803,2804,1,424.63,19,transit,1,1.0
20,2804,2805,1,311.6,20,transit,1,1.0
21,2805,2806,1,294.89,21,transit,1,2.0
22,2806,2807,1,304.26,22,transit,1,1.0
23,2807,2808,1,108.59,23,transit,1,2.0
24,2808,2809,1,227.99,24,transit,1,1.0
25,2809,2810,1,295.66,25,transit,1,1.0
26,2810,2811,1,158.76,26,transit,1,1.0
27,2811,2812,1,309.09,27,transit,1,2.0
28,2812,2813,1,286.11,28,transit,1,1.0
29,2813,2814,1,309.12,29,transit,1,1.0
30,2814,2815,1,255.43,30,transit,1,1.0
31,2815,2816,1,472.25,31,transit,1,1.0
32,2816,2817,1,231.29,32,transit,1,1.0
33,2817,2818,1,277.76,33,transit,1,1.0
34,2818,2819,1,578.32,34,transit,1,1.0
35,2819,2820,1,355.01,35,transit,1,1.0
36,2820,2821,1,201.05,36,transit,1,2.0
37,2821,2822,1,144.59,37,transit,1,1.0
38,2822,2823,1,142.29,38,transit,1,2.0
39,2823,2824,1,457.51,39,transit,1,1.0
40,2824,2825,1,104.47,40,transit,1,1.0
41,2825,2826,1,272.21,41,transit,1,2.0
42,2826,2827,1,289.92,42,transit,1,1.0
43,2827,2828,1,551.28,43,transit,1,1.0
44,2828,2829,1,309.87,44,transit,1,1.0
45,2829,2830,1,299.75,45,transit,1,2.0
46,2830,2831,1,533.45,46,transit,1,1.0
47,2831,2832,1,254.34,47,transit,1,1.0
48,2832,2833,1,366.38,48,transit,1,1.0
49,2833,2834,1,567.38,49,transit,1,1.0
50,2834,2835,1,259.39,50,transit,1,1.0
51,2835,2836,1,401.64,51,transit,1,1.0
52,2836,2837,1,867.53,52,transit,1,2.0
53,1879,1880,1,234.97,53,transit,1,2.0
54,1880,1881,1,481.66,54,transit,1,2.0
55,1881,1882,1,308.45,55,transit,1,1.0
56,1882,1883,1,257.94,56,transit,1,2.0
57,1883,1884,1,154.56,57,transit,1,1.0
58,1884,1885,1,108.28,58,transit,1,2.0
59,1885,1886,1,566.65,59,transit,1,3.0
60,1886,1887,1,379.74,60,transit,1,1.0
61,1887,1888,1,352.75,61,transit,1,1.0
62,1888,1889,1,331.62,62,transit,1,1.0
63,1889,1890,1,335.43,63,transit,1,1.0
64,1890,1891,1,321.99,64,transit,1,1.0
65,1891,1892,1,385.42,65,transit,1,1.0
66,1892,1893,1,218.57,66,transit,1,1.0
67,1893,1894,1,383.74,67,transit,1,2.0
68,1894,1895,1,265.15,68,transit,1,1.0
69,1895,1896,1,494.83,69,transit,1,1.0
70,1896,1897,1,882.73,70,transit,1,3.0
71,1897,1898,1,324.5,71,transit,1,1.0
72,1898,1899,1,374.91,72,transit,1,1.0
73,1787,1788,1,231.11,73,transit,1,1.0
74,1788,1789,1,249.82,74,transit,1,2.0
75,1789,1790,1,342.7,75,transit,1,1.0
76,1790,1791,1,202.53,76,transit,1,1.0
77,1791,1792,1,303.63,77,transit,1,2.0
78,1792,1793,1,358.48,78,transit,1,1.0
79,1793,1794,1,267.07,79,transit,1,1.0
80,1794,1795,1,440.7,80,transit,1,1.0
