from_stop_id,to_stop_id,travel_time_min,length_m,link_type,mode
6108,10001,2.6,3856.89,route,lrt
10001,6108,2.6,3856.89,route,lrt
6016,10001,2.6,3850.9,route,lrt
10001,6016,2.6,3850.9,route,lrt
10001,10002,2.6,2998.36,route,lrt
10002,10001,2.6,2998.36,route,lrt
10002,10003,2.6,3094.59,route,lrt
10003,10002,2.6,3094.59,route,lrt
10003,10004,2.6,1506.95,route,lrt
10004,10003,2.6,1506.95,route,lrt
10004,10005,2.6,707.95,route,lrt
10005,10004,2.6,707.95,route,lrt
10005,10006,2.6,1116.86,route,lrt
10006,10005,2.6,1116.86,route,lrt
10006,10007,2.6,2091.22,route,lrt
10007,10006,2.6,2091.22,route,lrt
