geometry_id,geometry
1,"LINESTRING (545199.8526318027 4807857.985998835, 545272.4995497919 4807902.650982684, 545273.1176015598 4807894.99186314, 545275.125927419 4807885.231897831, 545277.4424004821 4807877.806299506, 545324.8805310512 4807889.786297019, 545330.7375091829 4807873.499553252, 545371.7453284363 4807818.466386599, 545382.6803205833 4807793.4399501495, 545398.5209192056 4807797.32261525, 545427.0248695147 4807808.065336087, 545449.6966833475 4807819.324200452, 545467.0310555164 4807829.769740343, 545479.4402445675 4807838.2940742085, 545486.5367573927 4807842.340138955, 545552.7209638227 4807895.429981939, 545571.4003385724 4807910.438415253, 545670.1204083574 4807988.182897847, 545680.0264735409 4807995.691109774, 545728.0685773444 4808037.77584735, 545770.3381733594 4808059.608494164)"
2,"LINESTRING (545770.3381733594 4808059.608494164, 545759.825354989 4808069.977009284, 545776.3062000886 4808086.748108072, 545787.7002208785 4808101.59667032, 545794.9878487771 4808113.196580438, 545831.315994457 4808175.415867029, 545845.3712857303 4808203.61005472, 545872.4271227111 4808272.208179397, 545879.7220980462 4808294.58125741, 545886.6441522464 4808324.170841763, 545892.4995384864 4808355.863358296, 545901.0163025128 4808412.78508022, 545919.1096457504 4808465.99588952, 545957.9997714928 4808555.665718113, 546019.9282736953 4808519.104226978)"
3,"LINESTRING (546019.9282736953 4808519.104226978, 546023.5137628719 4808527.45834726, 546148.6180061235 4808473.448334695, 546272.7461219487 4808420.433481543, 546450.7877749327 4808343.691399945, 546532.6696668793 4808301.940991497)"
4,"LINESTRING (546532.6696668793 4808301.940991497, 546535.3788295432 4808308.179162061, 546541.2235761394 4808305.776112734, 546559.3190773937 4808299.348303803, 546595.824753215 4808287.82775022, 546752.274309302 4808244.152051561, 546824.0320585824 4808226.990810945, 546888.8166369349 4808211.558857051, 546965.7124757147 4808188.992773842)"
5,"LINESTRING (546965.7124757147 4808188.992773842, 546966.8748414216 4808196.4420391, 546991.5167219683 4808191.615829006, 547197.9680978778 4808163.7365240725, 547266.4714303422 4808149.222691724, 547314.8026055682 4808137.011423605, 547412.0250883037 4808113.593416588, 547548.0908843253 4808080.565885559, 547572.6949739474 4808069.744149623, 547591.8828105229 4808057.88473231, 547767.9185265144 4808233.718995072, 547747.9709316494 4808250.01503461, 547722.6701607386 4808267.828137335, 547692.8948734028 4808288.83051155, 547678.401900113 4808266.4045114815, 547680.4835713696 4808258.200600344)"
6,"LINESTRING (547680.4835713696 4808258.200600344, 547678.401900113 4808266.4045114815, 547692.8948734028 4808288.83051155, 547722.6701607386 4808267.828137335, 547747.9709316494 4808250.01503461, 547767.9185265144 4808233.718995072, 547591.8828105229 4808057.88473231, 547573.6752254468 4808079.968803897)"
7,"LINESTRING (547480.6964433778 4808293.8864025455, 547480.6147185644 4808293.996889798, 547505.7458209194 4808300.171181367, 547508.7133433344 4808304.079263997, 547508.3215300353 4808313.738937206, 547479.7668253675 4808356.963324492, 547390.9005950782 4808493.389509822, 547390.9005950782 4808493.389509822, 547382.1167749058 4808505.100426953)"
8,"LINESTRING (547378.6700800862 4808966.985096716, 547375.6661204783 4808968.296746718, 547381.7321497517 4808980.445172541, 547387.5192477398 4809009.25102489, 547386.5788194264 4809027.9029240385, 547379.4265486419 4809055.174063, 547338.874543386 4809136.1870984975, 547301.4331855194 4809212.33543734, 547298.0339675675 4809223.86210321, 547296.0759583185 4809237.62012858, 547293.5076998526 4809280.694390919, 547291.0797017204 4809292.227871571, 547283.1413007797 4809327.823294322, 547282.0237978245 4809337.14471528, 547258.0698805592 4809336.75469475, 547254.0957113687 4809314.847523332)"
9,"LINESTRING (547254.0957113687 4809314.847523332, 547258.0846750106 4809299.993091205, 547291.0797017204 4809292.227871571, 547293.5076998526 4809280.694390919, 547296.0759583185 4809237.62012858, 547298.0339675675 4809223.86210321, 547301.4331855194 4809212.33543734, 547338.874543386 4809136.1870984975, 547352.4391787127 4809094.744928027)"
10,"LINESTRING (547244.7159415118 4808862.979495182, 547231.3286020061 4808832.898872711, 547221.2104994211 4808798.287605302, 547221.8048898295 4808771.192527163, 547225.8936759103 4808753.673285172, 547237.2310322297 4808723.987933517)"
11,"LINESTRING (547382.1167749058 4808505.100426953, 547348.0425100353 4808487.313314612, 547299.6422554927 4808475.090097948, 547141.5038087347 4808436.333003643, 547099.131280711 4808418.600243861, 547059.333953131 4808402.995902204, 547015.3150750367 4808389.139373397)"
12,"LINESTRING (547015.3150750367 4808389.139373397, 547016.6325932668 4808385.927747901, 546992.9807844547 4808376.544776132, 546987.040789198 4808392.60743884, 546941.2897755848 4808499.686206237, 546871.4751774479 4808470.546682946, 546866.6826833109 4808472.956756791)"
13,"LINESTRING (546866.6826833109 4808472.956756791, 546868.5744179109 4808468.63846942, 546774.2976882798 4808406.788804262, 546743.0184797038 4808388.357787738, 546713.5169495812 4808382.045014952, 546683.7018354413 4808385.947929414, 546623.9995670451 4808404.193505147, 546582.7937157429 4808416.5699405605, 546561.715619708 4808432.972697706)"
14,"LINESTRING (546561.715619708 4808432.972697706, 546559.0905412823 4808426.290845634, 546547.0767139528 4808431.20574075, 546472.3092951867 4808462.676182537, 546393.0671682826 4808497.559597534, 546353.9278611533 4808515.615802782, 546329.7084592651 4808529.887508202)"
15,"LINESTRING (546067.7193204014 4808691.909940961, 546064.5976139473 4808686.779762744, 546010.1930631765 4808724.0585244335, 545995.4086000288 4808731.843108825, 545981.7021011936 4808735.858960288, 545978.5956121119 4808704.740383718, 545980.9703239191 4808653.223737953, 545980.8781535844 4808631.121745173, 545978.4916736525 4808613.113413392, 545940.0571291682 4808599.264952236)"
