link_id,from_node_id,to_node_id,directed,length,geometry_id,link_type,route_id,travel_time_min,length_m,mode,allowed_uses,lanes
1,1,2,1,544.63,1,route,27,2.0,544.63,bus,transit,1
2,2,3,1,523.11,2,route,27,2.11,523.11,bus,transit,1
3,3,4,1,555.85,3,route,27,2.0,555.85,bus,transit,1
4,4,5,1,446.6,4,route,27,1.41,446.6,bus,transit,1
5,5,6,1,716.46,5,route,27,3.11,716.46,bus,transit,1
6,6,7,1,207.84,6,route,27,1.0,207.84,bus,transit,1
7,7,8,1,233.41,7,route,27,0.97,233.41,bus,transit,1
8,8,9,1,220.15,8,route,27,0.13,220.15,bus,transit,1
9,9,10,1,283.5,9,route,27,0.97,283.5,bus,transit,1
10,10,11,1,274.61,10,route,27,0.1,274.61,bus,transit,1
11,11,12,1,369.8,11,route,27,1.0,369.8,bus,transit,1
12,12,13,1,241.23,12,route,27,1.0,241.23,bus,transit,1
13,13,14,1,255.72,13,route,27,0.1,255.72,bus,transit,1
14,14,15,1,147.33,14,route,27,1.0,147.33,bus,transit,1
15,15,16,1,241.57,15,route,27,0.1,241.57,bus,transit,1
16,16,17,1,375.85,16,route,27,1.0,375.85,bus,transit,1
17,17,18,1,170.39,17,route,27,1.0,170.39,bus,transit,1
18,18,19,1,306.88,18,route,27,1.0,306.88,bus,transit,1
19,19,20,1,250.99,19,route,27,1.0,250.99,bus,transit,1
20,20,21,1,307.63,20,route,27,0.44,307.63,bus,transit,1
21,21,22,1,144.99,21,route,27,0.66,144.99,bus,transit,1
22,22,23,1,695.9,22,route,27,2.38,695.9,bus,transit,1
23,23,1,1,393.05,23,route,27,2.0,393.05,bus,transit,1
24,24,25,1,275.16,24,route,63,1.0,275.16,bus,transit,1
25,25,26,1,704.7,25,route,63,2.97,704.7,bus,transit,1
26,26,27,1,136.19,26,route,63,0.64,136.19,bus,transit,1
27,27,28,1,205.91,27,route,63,0.46,205.91,bus,transit,1
28,28,29,1,153.27,28,route,63,0.61,153.27,bus,transit,1
29,29,30,1,207.26,29,route,63,1.0,207.26,bus,transit,1
30,30,31,1,339.66,30,route,63,1.0,339.66,bus,transit,1
31,31,32,1,288.61,31,route,63,1.0,288.61,bus,transit,1
32,32,33,1,240.16,32,route,63,0.16,240.16,bus,transit,1
33,33,34,1,380.96,33,route,63,1.0,380.96,bus,transit,1
34,34,35,1,200.0,34,route,63,0.94,200.0,bus,transit,1
35,35,36,1,146.24,35,route,63,0.16,146.24,bus,transit,1
36,36,37,1,235.28,36,route,63,1.0,235.28,bus,transit,1
37,37,38,1,225.03,37,route,63,0.1,225.03,bus,transit,1
38,38,39,1,283.97,38,route,63,1.0,283.97,bus,transit,1
39,39,40,1,136.19,39,route,63,0.1,136.19,bus,transit,1
40,40,41,1,125.1,40,route,63,1.0,125.1,bus,transit,1
41,41,42,1,224.82,41,route,63,0.1,224.82,bus,transit,1
42,42,43,1,176.37,42,route,63,0.6,176.37,bus,transit,1
43,43,44,1,179.34,43,route,63,0.5,179.34,bus,transit,1
44,44,45,1,263.73,44,route,63,0.6,263.73,bus,transit,1
45,45,46,1,277.09,45,route,63,0.56,277.09,bus,transit,1
46,46,47,1,300.88,46,route,63,1.0,300.88,bus,transit,1
