geometry_id,geometry
1,"LINESTRING (524038.5162000004 4802222.3115, 523894.31290000025 4802050.0166, 523718.3959999997 4801838.229699999)"
2,"LINESTRING (524038.5162000004 4802222.3115, 523894.31290000025 4802050.0166, 523718.3959999997 4801838.229699999)"
3,"LINESTRING (523195.83609999996 4801287.944700001, 523165.99039999954 4801270.815199999, 523123.77990000043 4801249.929500001, 523075.15419999976 4801229.1337, 523043.45720000006 4801216.726199999, 523003.0443000002 4801203.9888, 522938.99060000014 4801187.812100001, 522883.9907999998 4801177.814099999, 522834.7054000003 4801171.455399999, 522782.5586000001 4801169.105900001, 522722.99069999997 4801168.816, 522637.0111999996 4801176.6544, 522551.9883000003 4801191.8113, 522497.9863 4801207.818, 522445.77359999996 4801225.0745, 522381.1344999997 4801253.1088, 522084.51489999983 4801394.470000001, 521942.49679999985 4801462.2063, 521534.5491000004 4801655.657299999, 521428.3529000003 4801703.1435, 521380.10170000046 4801721.1109, 521362.97059999965 4801728.862)"
4,"LINESTRING (523195.83609999996 4801287.944700001, 523165.99039999954 4801270.815199999, 523123.77990000043 4801249.929500001, 523075.15419999976 4801229.1337, 523043.45720000006 4801216.726199999, 523003.0443000002 4801203.9888, 522938.99060000014 4801187.812100001, 522883.9907999998 4801177.814099999, 522834.7054000003 4801171.455399999, 522782.5586000001 4801169.105900001, 522722.99069999997 4801168.816, 522637.0111999996 4801176.6544, 522551.9883000003 4801191.8113, 522497.9863 4801207.818, 522445.77359999996 4801225.0745, 522381.1344999997 4801253.1088, 522084.51489999983 4801394.470000001, 521942.49679999985 4801462.2063, 521534.5491000004 4801655.657299999, 521428.3529000003 4801703.1435, 521380.10170000046 4801721.1109, 521362.97059999965 4801728.862)"
5,"LINESTRING (526667.6953999996 4804228.723099999, 526572.9094000002 4804186.151799999, 526499.0100999996 4804151.618799999, 526392.4490999999 4804098.329700001, 526304.0866 4804052.279100001, 526221.0098000001 4804006.818299999, 526151.2004000004 4803967.396299999, 526087.3858000003 4803929.714, 526006.5931000002 4803880.234099999, 525787.0061999997 4803736.8233)"
6,"LINESTRING (526667.6953999996 4804228.723099999, 526572.9094000002 4804186.151799999, 526499.0100999996 4804151.618799999, 526392.4490999999 4804098.329700001, 526304.0866 4804052.279100001, 526221.0098000001 4804006.818299999, 526151.2004000004 4803967.396299999, 526087.3858000003 4803929.714, 526006.5931000002 4803880.234099999, 525787.0061999997 4803736.8233)"
7,"LINESTRING (524401.9974999996 4802646.349300001, 524355.4079999998 4802601.8113, 524293.8158 4802537.3474, 524173.5996000003 4802392.9768, 524133.1867000004 4802343.506899999, 524095.55819999985 4802295.3356)"
8,"LINESTRING (524401.9974999996 4802646.349300001, 524355.4079999998 4802601.8113, 524293.8158 4802537.3474, 524173.5996000003 4802392.9768, 524133.1867000004 4802343.506899999, 524095.55819999985 4802295.3356)"
9,"LINESTRING (524662.4956999999 4802858.1021, 524541.2076000003 4802762.511600001, 524469.4440000001 4802704.6833999995, 524401.9974999996 4802646.349300001)"
10,"LINESTRING (524662.4956999999 4802858.1021, 524541.2076000003 4802762.511600001, 524469.4440000001 4802704.6833999995, 524401.9974999996 4802646.349300001)"
11,"LINESTRING (525787.0061999997 4803736.8233, 525728.0071999999 4803695.821599999, 525677.5426000003 4803659.479, 525549.8015000001 4803561.3858, 525302.5228000004 4803366.426000001, 525111.2428000001 4803213.139900001, 524970.0080000004 4803099.9529)"
12,"LINESTRING (525787.0061999997 4803736.8233, 525728.0071999999 4803695.821599999, 525677.5426000003 4803659.479, 525549.8015000001 4803561.3858, 525302.5228000004 4803366.426000001, 525111.2428000001 4803213.139900001, 524970.0080000004 4803099.9529)"
13,"LINESTRING (556550.1815999998 4813964.8314, 556581.7796999998 4814002.6237, 556767.1792000001 4814218.829700001, 556808.1941 4814268.829500001, 556964.1807000004 4814451.8323, 557375.1865999997 4814940.832699999, 557639.8782000002 4815254.5889)"
14,"LINESTRING (556550.1815999998 4813964.8314, 556581.7796999998 4814002.6237, 556767.1792000001 4814218.829700001, 556808.1941 4814268.829500001, 556964.1807000004 4814451.8323, 557375.1865999997 4814940.832699999, 557639.8782000002 4815254.5889)"
15,"LINESTRING (556224.3380000005 4813580.983200001, 556250.2143000001 4813609.399499999, 556296.8108999999 4813662.5427, 556340.5703999996 4813714.1669, 556550.1815999998 4813964.8314)"
16,"LINESTRING (556224.3380000005 4813580.983200001, 556250.2143000001 4813609.399499999, 556296.8108999999 4813662.5427, 556340.5703999996 4813714.1669, 556550.1815999998 4813964.8314)"
17,"LINESTRING (552357.1945000002 4817953.9694, 552559.8690999998 4818052.769300001, 552672.1693000002 4818106.8583, 552715.5258999998 4818129.9936, 552746.1675000004 4818148.8497, 552784.1561000003 4818174.8544, 552832.1963999998 4818210.8771, 552866.1528000003 4818240.801000001, 552941.2724000001 4818316.7456, 553000.5765000004 4818377.3632, 553433.1535 4818822.8226, 553576.1694 4818969.9026, 553741.1688000001 4819145.8168, 553954.1507000001 4819374.870200001)"
18,"LINESTRING (548495.7766000004 4816054.878799999, 548728.4128 4816170.9823, 549038.6545000002 4816320.002, 549057.1772999996 4816328.9065000005, 549243.5307 4816418.491900001)"
