zone_id_from,zone_id_to,demand
22001,22001,0
21903,22001,200
21414,22001,600
21412,22001,500
21417,22001,750
21411,22001,500
21410,22001,300
21418,22001,200
22001,21903,100
21903,21903,0
21414,21903,600
21412,21903,400
21417,21903,190
21411,21903,300
21410,21903,100
21418,21903,200
22001,21414,600
21903,21414,100
21414,21414,0
21412,21414,200
21417,21414,100
21411,21414,100
21410,21414,600
21418,21414,100
22001,21412,100
21903,21412,200
21414,21412,300
21412,21412,0
21417,21412,700
21411,21412,100
21410,21412,100
21418,21412,100
22001,21417,100
21903,21417,100
21414,21417,100
21412,21417,100
21417,21417,0
21411,21417,100
21410,21417,250
21418,21417,100
22001,21411,250
21903,21411,250
21414,21411,300
21412,21411,400
21417,21411,100
21411,21411,0
21410,21411,100
21418,21411,100
22001,21410,100
21903,21410,100
21414,21410,190
21412,21410,400
21417,21410,400
21411,21410,400
21410,21410,0
21418,21410,100
22001,21418,400
21903,21418,300
21414,21418,500
21412,21418,500
21417,21418,500
21411,21418,500
21410,21418,500
21418,21418,0
