link_id,Congested_Time_Max
1,2.0000000000789893
2,2.1100000002873727
3,2.0000000004160947
4,1.410000000044718
5,3.110000000098633
6,1.0000000000317149
7,0.9700000006993914
8,0.1300000000937329
9,0.9700000025302304
10,0.1000000002608485
11,1.000000002608485
12,1.000000002608485
13,0.1000000002608485
14,1.000000002608485
15,0.1000000002608485
16,1.000000002608485
17,1.000000002608485
18,1.000000002608485
19,1.000000002608485
20,0.4400000011477334
21,0.6600001244253961
22,2.3800004483551973
23,2.0000003767690733
24,1.0
25,2.97
26,0.64
27,0.46
28,0.61
29,1.0
30,1.0
31,1.0
32,0.16
33,1.0
34,0.94
35,0.16
36,1.0
37,0.1
38,1.0
39,0.1
40,1.0
41,0.1
42,0.6
43,0.5
44,0.6
45,0.56
46,1.0
47,0.1
48,1.0
49,1.56
50,1.0
51,0.63
52,1.0
53,0.45
54,1.0
55,0.63
56,1.0
57,1.0
58,0.1
59,1.0
60,0.69
61,0.41
62,0.69
63,1.0
64,0.41
65,0.69
66,0.1
67,1.0
68,1.0
69,1.0
70,2.0
71,1.0
72,3.63
73,2.0
74,1.0
75,1.0
76,1.0
77,4.0
78,2.0
79,0.24
80,1.0
81,0.84
82,1.0
83,1.16
84,0.86
85,0.24
86,1.0
87,0.12
88,0.98
89,1.0
90,5.25
91,1.0
92,0.86
93,1.27
94,0.75
95,2.27
96,0.75
97,1.0
98,1.0
99,1.0
100,0.84
101,1.0
102,0.68
103,0.42
104,0.52
105,1.0
106,1.0
107,1.0
108,0.1
109,1.0
110,0.1
111,1.0
112,1.0
113,2.0
114,0.52
115,0.58
116,1.47
117,1.53
118,0.52
119,1.0
120,0.1
121,1.0
122,1.0
123,1.44
124,1.0
125,1.0
126,0.6
127,1.44
128,0.1
129,1.0
130,0.65
131,1.83
132,1.61
133,1.0
134,1.0
135,1.0
136,1.0
137,2.44
138,2.82
139,0.26
140,0.84
141,1.0
142,1.0
143,1.47
144,1.47
145,1.0
146,0.1
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,1.47
153,1.0
154,0.1
155,1.0
156,0.1
157,1.0
158,0.84
159,1.0
160,1.0
161,0.52
162,1.0
163,1.0
164,1.0
165,0.1
166,1.0
167,1.0
168,0.1
169,1.0
170,1.0
171,1.0
172,0.1
173,1.0
174,0.42
175,1.0
176,1.0
177,0.68
178,1.35
179,1.0
180,0.51
181,1.0
182,1.0
183,0.58
184,0.52
185,0.58
186,1.45
187,1.0
188,0.94
189,0.16
190,0.94
191,0.22
192,0.85
193,0.42
194,0.74
195,0.42
196,0.91
197,1.99
198,1.06
199,0.94
200,0.92
201,0.24
202,0.1
203,0.92
204,0.18
205,0.92
206,0.94
207,0.16
208,1.0
209,1.0
210,1.0
211,0.59
212,1.46
213,0.59
214,0.1
215,2.0
216,1.4
217,1.0
218,1.0
219,0.41
220,0.69
221,1.0
222,0.76
223,1.0
224,0.84
225,0.97
226,0.36
227,0.85
228,0.95
229,1.01
230,1.92
231,0.36
232,1.0
233,0.81
234,1.0
235,2.74
236,1.19
237,3.99
238,2.74
239,1.39
240,2.0
241,1.0
242,1.0
243,0.18
244,0.92
245,1.09
246,1.7
247,0.19
248,1.0
249,0.99
250,0.82
251,0.92
252,0.36
253,0.82
254,1.0
255,0.68
256,1.0
257,0.42
258,1.0
259,0.68
260,1.0
261,1.0
262,1.0
263,2.12
264,2.0
265,0.99
266,2.01
267,0.99
268,1.0
269,1.0
270,1.0
271,0.48
272,4.87
273,1.0
274,0.65
275,1.0
276,0.45
277,1.61
278,1.0
279,1.0
280,1.0
281,1.9
282,1.0
283,0.42
284,1.55
285,0.42
286,1.0
287,5.61
288,0.1
289,1.0
290,1.0
291,2.29
292,1.67
293,1.0
294,2.29
295,1.97
296,2.0
297,1.0
298,2.19
299,1.11
300,3.0
301,0.2
302,1.54
303,1.0
304,2.11
