link_id,Congested_Time_Max
1,0.375
3,1.4796
5,0.7577
7,0.3499
9,0.2518
11,0.7771
13,1.2664
15,0.3777
17,1.6187
18,0.6236
20,0.2333
22,1.2054
24,0.123
25,0.8866
27,0.0749
29,0.4708
31,0.2586
33,0.1072
35,0.7722
37,0.1212
39,0.3662
41,0.2963
43,1.0014
45,0.5448
47,0.6472
49,0.2459
51,0.0692
53,0.612
55,0.484
57,0.2934
59,0.3163
61,1.2231
63,0.4322
65,0.6631
67,0.0534
69,0.3297
71,0.0785
73,0.3311
75,0.1044
77,0.2819
79,0.1324
81,0.2457
83,0.3188
85,0.2433
87,0.0685
89,0.4363
91,0.1916
93,0.0521
95,0.2176
97,0.0851
99,0.1405
101,0.0932
103,0.0695
105,0.3096
106,0.2006
107,0.2244
109,0.14
111,0.1589
113,0.0928
115,0.2241
117,0.3386
119,0.1195
121,0.1215
123,0.3343
125,0.1256
127,0.1254
129,0.1969
131,0.1715
133,0.1125
135,0.1265
137,0.1203
138,0.1007
139,0.1189
140,0.2047
141,0.0805
143,0.0782
145,0.1513
147,0.0894
149,0.0368
151,0.0487
153,0.0444
155,0.2609
157,0.2838
159,0.135
161,0.247
163,0.1216
165,0.1091
167,0.0908
168,0.4636
170,0.5291
172,0.5075
174,0.6181
176,0.2856
178,1.0998
180,0.66
182,0.8439
184,1.1979
186,0.2461
188,0.2092
190,0.5686
192,0.1076
194,0.9956
196,1.5244
198,1.1917
200,0.1134
202,0.2141
204,1.0846
206,0.1689
208,1.2326
210,0.2934
212,0.7221
214,0.1445
216,0.1461
218,0.1431
220,1.7186
222,0.6431
224,0.1615
226,0.179
228,1.0147
230,0.1549
232,0.2873
234,0.1544
236,0.1471
238,0.1426
240,0.8668
242,0.1112
244,0.2573
246,0.1147
248,0.1778
250,0.1785
252,0.171
254,0.6269
256,0.6762
258,0.3388
260,2.1261
262,1.0743
264,1.6517
266,1.1872
268,1.8769
270,0.5707
272,1.8784
274,2.0334
276,1.0053
278,1.453
280,1.166
282,0.4713
284,0.3651
286,2.2775
288,1.3789
290,2.0417
292,0.8834
294,1.3797
296,2.0187
298,1.3863
300,2.029
302,1.5883
304,1.5011
306,0.0933
308,0.1279
310,0.252
312,1.1204
314,0.578
316,0.7387
318,1.3875
320,2.0366
322,1.3853
324,1.3472
326,0.0226
328,1.4105
330,2.0355
332,2.2295
334,1.8463
336,0.2203
338,0.0698
340,0.0504
342,0.1112
344,0.0649
346,0.1247
347,0.3947
349,0.1968
351,0.1277
353,0.1126
355,0.339
356,0.0978
358,0.0457
359,0.0518
360,0.1101
362,0.0927
363,0.1187
364,0.2065
366,0.0729
368,0.1639
370,0.1049
372,0.1018
374,0.1246
376,0.0764
378,0.1854
380,0.0587
381,0.2152
383,0.264
385,0.0567
386,0.0969
388,1.1963
390,0.1165
392,0.0396
393,0.0849
395,0.1959
397,0.0487
399,0.2327
401,0.2068
403,0.2958
405,0.1451
407,0.2134
409,0.3447
411,0.055
